,tweet_id,retweet_count,favorite_count
0,892420643555336193,6975,33709
1,892177421306343426,5276,29230
2,891815181378084864,3465,21981
3,891689557279858688,7196,36805
4,891327558926688256,7721,35195
5,891087950875897856,2589,17753
6,890971913173991426,1648,10334
7,890729181411237888,15688,56686
8,890609185150312448,3605,24432
9,890240255349198849,6074,27860
10,890006608113172480,6114,26952
11,889880896479866881,4141,24494
12,889665388333682689,8305,41892
13,889638837579907072,3700,23586
14,889531135344209921,1874,13314
15,889278841981685760,4421,22038
16,888917238123831296,3745,25534
17,888804989199671297,3517,22398
18,888554962724278272,2865,17254
19,888078434458587136,2885,19104
20,887705289381826560,4520,26534
21,887517139158093824,9814,40591
22,887473957103951883,14959,59991
23,887343217045368832,8777,29499
24,887101392804085760,4971,26899
25,886983233522544640,6289,30254
26,886736880519319552,2618,10458
27,886680336477933568,3722,19660
28,886366144734445568,2614,18492
29,886267009285017600,4,105
30,886258384151887873,5257,24444
31,886054160059072513,93,0
32,885984800019947520,5590,28507
33,885528943205470208,5308,31491
34,885518971528720385,3100,17945
35,885311592912609280,15377,0
36,885167619883638784,3654,19192
37,884925521741709313,14950,67049
38,884876753390489601,4640,24306
39,884562892145688576,3896,21251
40,884441805382717440,4778,23790
41,884247878851493888,16832,63036
42,884162670584377345,2493,17890
43,883838122936631299,2849,19097
44,883482846933004288,8229,40053
45,883360690899218434,3061,19880
46,883117836046086144,5512,32394
47,882992080364220416,3231,20923
48,882762694511734784,4079,24698
49,882627270321602560,5045,24534
50,882268110199369728,9587,39058
51,882045870035918850,4068,25629
52,881906580714921986,2841,21384
53,881666595344535552,8918,44414
54,881633300179243008,8,113
55,881536004380872706,13352,43303
56,881268444196462592,4485,20434
57,880935762899988482,2326,15003
58,880872448815771648,3192,18662
59,880465832366813184,5194,24933
60,880221127280381952,3450,23583
61,880095782870896641,3636,24244
62,879862464715927552,2916,19642
63,879674319642796034,9,282
64,879492040517615616,2619,20654
65,879415818425184262,37285,92525
66,879376492567855104,2635,14808
67,879130579576475649,5714,0
68,879050749262655488,3936,19751
69,879008229531029506,2232,16728
70,878776093423087618,3421,17084
71,878604707211726852,5900,26359
